video_id,datetime,title
AkUHVf_U5dM,2024-04-08T20:00:03Z,Sheldon and Leonard Outsmart Kripke | The Big Bang Theory
uC2-ZLZyLAc,2024-04-08T18:00:25Z,Penny Is a Tough Boss | The Big Bang Theory
uUI6dJ9Pr74,2024-04-08T14:00:41Z,Unforgettable Sheldon Cooper Moments (Season 2) | The Big Bang Theory
SRO5SQmm7K8,2024-04-08T12:00:31Z,Howard Makes His Move on Penny 😚 | The Big Bang Theory #shorts
b8SR2EGvNtg,2024-04-07T14:00:20Z,Sheldon Insulted Several Nobel Prize Winners | The Big Bang Theory
WvoKXqn-YXs,2024-04-07T12:00:24Z,Sheldon Hit the Override Switch 💥 | The Big Bang Theory #shorts
NQtTI3tyOZc,2024-04-06T14:00:18Z,Baby Test Subjects | The Big Bang Theory
znOjvxMPVQw,2024-04-06T12:00:53Z,Prom Night ✨ | The Big Bang Theory #shorts
WIDI56MU0cE,2024-04-05T20:00:22Z,A Little Help From Kripke | The Big Bang Theory
eETKVzpdH20,2024-04-05T14:00:35Z,Leonard Breaks the Molecule Display | The Big Bang Theory
9wL9823MmPw,2024-04-05T12:00:07Z,Penis Cookies 😶 | The Big Bang Theory #shorts
0w4DxVJ4BUU,2024-04-04T20:00:00Z,Women Find Howard Appealing | The Big Bang Theory
oTQa4ZWIC0A,2024-04-04T14:00:39Z,Penny and Amy Moments | The Big Bang Theory
